name,grade,climb_angle,climb_style,description
Slugs of War,2,vertical,face,"A decent little boulder problem. Stand start with your hands on the large sloping ledge, then use a classic dish w/ thumb catch and some other bad holds to make it to the lip.  Sit start is awkward But fun and goes at the same grade.   (Starting right foot is crumbly but should get better with traffic)"
Bonum Vitae,7,overhanging,traverse,Start down low and to the left. Traverse rail diagonally up and right.
Bittersweet,9,overhanging,mantle,"Start on a low, crimpy rail down right and bust core intensive moves left on good flat slots, eventually gaining a nice edge/flake, from there move up and left to a technical mantle."
Thin Lizzie,8,overhanging,dyno,"Start on the jug rail at the bottom of the face in the middle of the overhang/roof. Make huge move to small 3 finger crimp, then dyno to a gaston, and dyno to a jug."
Chuckawalla 'Yabo' Start,6,overhanging,steep,"Yabo sit start as you would for Little Chucky, but instead of moving out right, move left and straight up the boulder. Strenuous gaston move out to the left makes this more difficult if you're shorter."
Relic,9,overhanging,technical,"SDS at the southwest arete, move right and past the overhanging northeast arete of Tidal Wave at twin sidepulls and then traverse the smooth patina face using thin edges, sidepulls and creative body positioning to reach the Bedrock Arete  which is taken to the top.    As an alternative it can be done from a stand start at the Tidal Wave arete using a flat edge on the left side of the arete and sidepulls on the right (this is the version described in the bouldering guide) which makes it slightly shorter and perhaps a little easier."
Tidal Wave,10,overhanging,technical,"This line takes the northeast arete of the boulder. Two good holds at about head height, one on each side of the arete, will get you started. From there, horrible left hands on dimples and texture (calling them ""holds"" is kinda laughable), some heel trickery, and positive but well spaced right hands will take you to the summit. Probably the most do-able of the problems at this grade in JT, reachy but not too morpho. Due to the minute, sloping nature of half the holds, you'll want cold temps."
White Rastafarian,2,overhanging,steep,"This problem is located on a large boulder at the Southeast end of Rock Hudson. Climb a juggy crack on an overhanging arete until it dies out 15 ft. up. Lean out left, onto the overhanging face, to a large flake. Finishes with an easy mantel 25 ft. off the deck. One of JTree's finest problems."
Roof Romp,4,overhanging,steep,Crux is getting to some behind-the-head crimps under the roof. Fun little problem.
Reverse Romp,4,overhanging,face,"Sit start as for Flake Direct and climb up to the start of the flake. Break left, and reverse the moves on Roof Romp, continuing past the traditional start until you reach the chossy corner."
How's Your Mama?,4,vertical,mantle,"This problem starts a few feet over from the left arete on nasty crimps and polished feet, gaining the right slanting seam and following it until you can mantle over the top. Getting established on the face from the ground is a battle in itself. Taller people will find this easier than short folks."
Pitch Two,4,overhanging,mantle,"This problem is found above the sit down flake (V2) on the second tier of the Dino's Egg boulder.     Start with a good left sloper and an in-cut right hand using the positive rail on the underbelly (see picture).  Move to a sloper and head towards the jug above the lip, finishing with a not-a-gimme mantel (see picture).  Squamish style and a bit thuggy."
False Hueco Traverse,2,overhanging,traverse,"SDS.  Start as for False Hueco, but traverse right.  good heel hooks move you quickly.  crux at the end."
Falser Hueco Traverse,2,overhanging,traverse,"The jug rail has fallen! Without the rail 2/3 of the way through the problem, the problem is a good bit harder. Smaller holds and more difficult movement will take you through to the finish. The loss of the rail significantly altered the problem and has left it more consistent in difficulty.    Can we get a consensus on the grade?"
Yabba Dabba Don't,3,overhanging,dyno,"After easy moves to a big jug in a left leaning diagonal crack, this problem involves an exciting and committing diagonal dyno to an exceptionally large, black xenolith. The landing drops away at a sloping angle into a pile of big cobbles, but can be made fairly safe with a couple of pads."
Hobbit Hole Offwidth,0,vertical,crack,"The obvious splitter offwidth. Gets wider as you go! Either climb it straight in like a man, or lieback it like a sissy. (I took the sissy way.) Same grade either way, but much more strenuous to jam it straight in."
Scorpion Traverse,4,overhanging,traverse,"Sit start and traverse right on good huecos.   At the right side of the cave move out to the lip and make a hard move to gain good holds in a slanting crack.       Follow the crack past a break until possible to move left into a scoop.   The crack is not hard, but you feel exposed as you make your way higher.  From the scoop either traverse left and downclimb onto the boulder, or continue directly up."
Scorpion Roof Direct,5,overhanging,steep,Sit start as for Scorpion Traverse.    Move out to the lip of the roof.   From the lip make a hard move to gain a poor sidepull for your left hand.    Bear down and reach up to the slopers at the horizontal break.   It takes power to keep hold of the slopers as you match and traverse right into the crack.    Reach the crack and take a breather before finishing as for Scorpion Traverse.
Tilt-o-Meter Traverse,1,overhanging,traverse,"Traverse the Tilt-o-Meter boulder by climbing through the three Tilt-o-Meter problems.  You can start from the right and move left, or you can start from the left and move right--they go at about the same grade.    If starting on the right: Start at the top of Tilt-o-Meter Right standing on the shelf and move down onto the rail (basically doing the climb in reverse), then hit the jugs on Tilt-o-Meter Center by making use of the large flake, then climb Tilt-o-Meter Left and top out.    If starting on the left: Start at the left-most hold higher up on Tilt-o-Meter Left, move down and right to the large flake, move up to the jugs on Tilt-o-Meter Center, then move to the rail of Tilt-o-Meter Right and finish on the shelf with an easy mantel."
